店名,住所,営業時間,定休日,座席,緯度,経度
あしたの夏二郎 水島店,〒712-8061 岡山県倉敷市神田2-7-56,10:30〜14:30／17:00〜21:00[日] 10:30〜14:30,無休,,34.538548,133.734741
宮二郎 OKAYAMA,〒700-0822 岡山県岡山市北区表町2-3-45,7:30〜10:00／11:30〜14:00／17:30〜20:00[土] 11:30〜14:00／17:30〜20:00[日] 11:30〜15:00,月曜日,,34.660679,133.930344
あしたの夏二郎 中庄店,〒710-0012 岡山県倉敷市鳥羽12-1  エミリービル1F,11:30〜14:30／17:00〜20:00,月曜日,,34.627243,133.808258
今を粋ろ 津山店,〒708-0825 岡山県津山市志戸部705-9  キュリアス・モールC,11:00～15:00／17:30～22:00,月曜,15席,35.074772,134.017181
ラーメン どかいち 玉島店,〒710-0252 岡山県倉敷市玉島爪崎1050-1,11:00～15:00／17:00～24:00,不定休,カウンター8席、テーブル4席×6,34.561119,133.684418
赤ひげラーメン 那覇松山店,沖縄県那覇市松山2-21-16,火曜11:30～14:15(L.O.)木・金・土曜11:30～14:15(L.O.)、18:00～20:15(L.O.)日曜11:30～20:15(L.O.),月・水曜、年末年始,11席,26.220833,127.680489
らーめんふぁんくらぶ 歴史を刻め,〒900-0032 沖縄県那覇市松山2-6-1,11:00～15:00／18:00～22:00,木曜・日曜,10席,26.219900,127.681129
ラブメン 本店,〒901-2206 沖縄県宜野湾市愛知1-2-16  コーポ伊佐 1F,11:30〜22:00[日・祝] 11:30〜21:00※ラストオーダーは各15分前,不定休,29席,26.270262,127.768929
ススリバ,〒900-0032 沖縄県那覇市松山2-9-5,月曜～日曜 20:00～翌14:00（Lo13:55）,無休,,26.219337,127.680115
らーめん工房 赤まる 那覇店,〒900-0016 沖縄県那覇市前島2-3-6,11:00～翌1:00,無休,約20席,26.221495,127.683372
麺屋 しまじろう,〒906-0012 沖縄県宮古島市平良西里387,11:00〜14:00,水曜日,,24.803347,125.284584
油麺 ABUMEN,〒900-0015 沖縄県那覇市久茂地2-14-12 1F,11:00～14:30／18:00～翌3:30※ラストオーダーは各30分前,日曜日,14席,26.218622,127.681366
ラーメン バードメン,〒024-0085 岩手県北上市しらゆり2-7  日高見しらゆり第2ビル 1F,11:00〜14:30／17:30〜21:00,不定休,,39.288624,141.102341
踊ろうサンダーバード,〒020-0115 岩手県盛岡市館向町3-6 太陽リーハA棟,11:00～15:00／18:00～21:00,不定休,10席,39.716972,141.131439
513,〒020-0125 岩手県盛岡市上堂3-5-27  第三フリーデン 1F,11:00〜14:00／17:00〜20:00[土・日・祝]  8:00〜14:00,不定休,10席,39.726059,141.124496
豚メンMAX,〒020-0851 岩手県盛岡市向中野7-15-36,11:00〜15:00／17:30〜21:00※ラストオーダーは各15分前,無休,,39.674423,141.137970
鷹山 駅前店,〒021-0867 岩手県一関市駅前58-2,11:30～,,カウンター5席 テーブル2席×5卓、4席×1卓,38.926708,141.136765
ラーメンビリー 盛岡フェザン店,〒020-0034 岩手県盛岡市盛岡駅前通1-44  おでんせ館 B1F めんこい横丁,11:00〜22:00,,,39.696392,141.139297
ラーメン・つけ麺 爆王,〒501-3936 岐阜県関市倉知4344-1,11:00～14:00／18:00～21:00,月曜、第3火曜,20席（カウンター8、座敷12）,35.456059,136.888809
めん家 一麺惚,〒486-0041 愛知県小牧市小牧2丁目57,11:30～15:00／17:45～22:00[日・祝] 11:30～21:30※ラストオーダーは各30分前,水曜,8席,35.293865,136.926788
我一豚,〒503-0017 岐阜県大垣市中川町1-732-3,11:30～14:00／18:00～22:00※売り切れ次第終了,日曜日,14席,35.378994,136.617828
